id,propertyType,title,locationId,price,size,hasParking,roomNumber,bathNumber,hasSwimmingPool,hasTerrace,hasGarden,hasLift,isGoodCondition,isNeedsRenovating,isNewDevelopment,featureTags,heatingType,interiorExterior,floor,area_name
97929802,piso,"piso en venta en calle eros, 7",0-EU-ES-28-07-001-079-02,387000,63.0,1,1,1,1,0,1,1,1,0,0,[],no info,exterior,planta 1ª,Arganzuela
98369217,piso,ático en venta en guindalera,0-EU-ES-28-07-001-079-04,1350000,214.0,0,5,2,0,1,0,1,0,1,0,[],Calefacción central,exterior,planta 8ª,Barrio de Salamanca
97493003,piso,piso en venta en costa rica,0-EU-ES-28-07-001-079-05,475000,97.0,0,2,1,0,1,0,1,0,1,0,[],Calefacción central: Gas,exterior,planta 1ª,Chamartín
97481082,piso,piso en venta en calle de dulcinea,0-EU-ES-28-07-001-079-06,459000,94.0,1,3,2,0,0,0,1,1,0,0,['Lujo'],no info,exterior,planta 2ª,Tetuán
96736702,piso,piso en venta en calle de maría de molina,0-EU-ES-28-07-001-079-04,920000,161.0,1,3,2,0,0,0,1,1,0,0,['Lujo'],Calefacción central: Gas,exterior,planta 5ª,Barrio de Salamanca
97150528,piso,piso en venta en los rosales,0-EU-ES-28-07-001-079-17,130000,71.0,0,3,1,0,1,0,0,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 2ª,Villaverde
93954185,piso,"estudio en venta en calle de padilla, 70",0-EU-ES-28-07-001-079-04,329000,50.0,0,0,1,0,0,0,1,1,0,0,[],no info,exterior,planta 4ª,Barrio de Salamanca
97845692,piso,piso en venta en calle la cenicienta,0-EU-ES-28-07-001-079-13,250000,90.0,1,2,1,0,0,0,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 1ª,Puente de Vallecas
97831631,piso,piso en venta en paseo de santa maría de la cabeza,0-EU-ES-28-07-001-079-02,365700,78.0,0,3,1,0,0,0,1,1,0,0,[],Calefacción individual,exterior,planta 6ª,Arganzuela
97648949,piso,"piso en venta en lagasca, 68",0-EU-ES-28-07-001-079-04,757200,98.0,0,2,2,0,0,0,1,1,0,0,[],Calefacción individual,interior,planta 1ª,Barrio de Salamanca
97635895,piso,piso en venta en calle de la marquesa de silvela,0-EU-ES-28-07-001-079-12,125000,61.0,0,3,1,0,0,0,1,0,1,0,[],No dispone de calefacción,exterior,planta 4ª,Usera
91451759,piso,"piso en venta en calle del general palanca, 46",0-EU-ES-28-07-001-079-02,190000,65.0,0,2,1,0,1,0,0,1,0,0,[],Calefacción individual,interior,planta 2ª,Arganzuela
97283426,piso,"piso en venta en calle antonio zapata, 1",0-EU-ES-28-07-001-079-05,440000,91.0,0,2,1,0,0,0,1,1,0,0,[],Calefacción central,exterior,planta 2ª,Chamartín
89752965,piso,piso en venta en calle de fomento,0-EU-ES-28-07-001-079-01,1180000,220.0,0,4,4,0,0,0,1,1,0,0,['Lujo'],Calefacción central,exterior,planta 2ª,Centro
1620222,piso,"piso en venta en calle idioma esperanto, 22",0-EU-ES-28-07-001-079-15,250000,95.0,0,3,2,0,0,1,1,1,0,0,[],Calefacción central,exterior,entreplanta,Ciudad Lineal
98347242,piso,piso en venta en luis de hoyos sainz,0-EU-ES-28-07-001-079-14,245000,92.0,0,3,1,0,0,0,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 5ª,Moratalaz
98234413,piso,"piso en venta en carretera de canillas, 107",0-EU-ES-28-07-001-079-16,630000,140.0,0,3,2,1,0,1,1,1,0,0,[],Calefacción individual: Gas natural,exterior,planta 1ª,Hortaleza
97712799,piso,piso en venta en calle calle arte pop s/n,0-EU-ES-28-07-001-079-18,348000,115.0,1,3,2,1,1,0,1,0,0,1,[],Calefacción individual,exterior,no info,Villa de Vallecas
